证书签发完成,"Certificate Issued"
缓存命名空间失效接收超时。,"Cache namespace invalidation acceptance timed out."
缓存命名空间失效控制帧未完整写入。,"The cache namespace invalidation control frame was not fully written."
"Local project","Local project"
"%{1} / %{2} checks ready","%{1} / %{2} checks ready"
"Core Links","Core Links"
"%{1} / %{2}","%{1} / %{2}"
"Admin, panel, path, and security scope are ready.","Admin, panel, path, and security scope are ready."
"Some core project context still needs setup.","Some core project context still needs setup."
"Operation Slots","Operation Slots"
"All WLS operation plugins are installed.","All WLS operation plugins are installed."
"%{1} WLS operation plugins need installation.","%{1} WLS operation plugins need installation."
"Security Scope","Security Scope"
Ready,Ready
Review,Review
"Policy and attack-log links can be scoped safely.","Policy and attack-log links can be scoped safely."
"Security links need project identity first.","Security links need project identity first."
"Needs setup","Needs setup"
"Needs review","Needs review"
"All managed projects are ready for panel operations.","All managed projects are ready for panel operations."
"Some projects need core context before operations are safe.","Some projects need core context before operations are safe."
"%{1} of %{2} projects are fully ready.","%{1} of %{2} projects are fully ready."
"All core links and WLS operation plugins are ready.","All core links and WLS operation plugins are ready."
"%{1} core checks need setup before this project is fully manageable.","%{1} core checks need setup before this project is fully manageable."
"Project context needs review before it is fully ready.","Project context needs review before it is fully ready."
"Scoped editor","Scoped editor"
Marketplace,Marketplace
"Install plugin","Install plugin"
"Current project","Current project"
"Registered project","Registered project"
"Managed project","Managed project"
"PHP Config","PHP Config"
"Database Config","Database Config"
Files,Files
Deploy,Deploy
"Configure PHP","Configure PHP"
"Configure Database","Configure Database"
"Open Files","Open Files"
"Configure Deploy","Configure Deploy"
"Open editor","Open editor"
"PHP profile not selected","PHP profile not selected"
"Database profile not selected","Database profile not selected"
"Project path ready","Project path ready"
"Project path missing","Project path missing"
"Project release context ready","Project release context ready"
"Project release context missing","Project release context missing"
"local context","local context"
"安装 %{1} 可提升性能至 %{2}","Installing %{1} can improve performance to %{2}"
"性能提升 100-200%%，支持更多并发连接","Performance Boost of 100-200%%, Supporting More Concurrent Connections"
"需要安装 event 扩展","Event extension required"
读事件处理错误：%{1},"Read event error: %{1}"
写事件处理错误：%{1},"Write event error: %{1}"
信号处理错误：%{1},"Signal handler error: %{1}"
定时器执行错误：%{1},"Timer execution error: %{1}"
WLS错误扫描,"WLS error scan"
"扫描 WLS 日志中的 Fatal/ParseError/TypeError 等关键错误，生成修复任务","Scan WLS logs for critical errors such as Fatal/ParseError/TypeError and generate fix tasks"
攻击信号监控,"Attack Signal Monitoring"
"监控攻击信号文件，触发 CDN 攻击防护/恢复","Monitor attack signal file to trigger CDN attack protection/recovery"
无攻击信号需要处理,"No Attack Signals to Process"
"攻击信号监控异常: %{1}","Attack Signal Monitoring Anomaly: %{1}"
无活跃攻击信号,"No active attack signals"
"已通知 CDN 开启攻击防护模式，攻击次数: %{1}","CDN attack protection mode enabled, attack count: %{1}"
"已通知 CDN 关闭攻击防护模式，持续时间: %{1} 分钟","CDN attack protection mode disabled, duration: %{1} minutes"
"SSL 证书自动续签","SSL Certificate Auto Renewal"
"每天检查即将到期的证书：%{1} 天内发送通知，%{2} 天内自动续签","Check daily for expiring certificates: send notification within %{1} days, auto-renew within %{2} days"
没有需要续签的证书,"No certificates need renewal"
"证书将在 %{1} 天后过期","Certificate Will Expire in %{1} Days"
续签成功,"Renewal successful"
续签异常,"Renewal exception"
"证书自动续签完成：检查 %{1} 个，提醒 %{2} 个，成功 %{3} 个，失败 %{4} 个，跳过 %{5} 个","Certificate auto-renewal completed: Checked %{1}, notified %{2}, succeeded %{3}, failed %{4}, skipped %{5}"
证书自动续签任务失败：%{1},"Certificate auto-renewal task failed: %{1}"
"SSL 证书即将过期","SSL certificate is about to expire"
"域名 %{1} 的 SSL 证书将在 %{2} 天后过期（%{3}），请关注续签或手动续签。","The SSL certificate for domain %{1} will expire in %{2} days (%{3}). Please monitor renewal or renew manually."
"请指定域名：--domain example.com","Please specify the domain: --domain example.com"
"正在为 %{1} 申请 SSL 证书...","Requesting SSL certificate for %{1}..."
联系邮箱：%{1},"Contact email: %{1}"
Webroot：%{1},"Webroot: %{1}"
检测到本地域名，将生成自签证书,"Detected local domain, will generate a self-signed certificate."
"✓ 自签证书生成成功！","✓ Self-signed certificate generation successful!"
证书路径：%{1},"Certificate path: %{1}"
私钥路径：%{1},"Private key path: %{1}"
到期时间：%{1},"Expires at: %{1}"
"启用 HTTPS：","Enable HTTPS:"
"✗ 证书生成失败：%{1}","✗ Certificate generation failed: %{1}"
"请先安装 event 扩展后再执行申请证书。","Please install the event extension first before applying for the certificate."
证书提供商：%{1},"Certificate Provider: %{1}"
"Webroot 目录不存在：%{1}","Webroot directory not found: %{1}"
"✓ 证书申请成功！","✓ Certificate request successful!"
"✗ 证书申请失败：%{1}","✗ Certificate request failed: %{1}"
"续签将继续执行，但启用 HTTPS 前请先安装 event 扩展。","Renewal will proceed, but please install the event extension before enabling HTTPS."
"正在续签 %{1} 的证书...","Renewing certificate for %{1}..."
"✓ 证书续签成功","✓ Certificate renewed successfully"
"✗ 证书续签失败：%{1}","✗ Certificate renewal failed: %{1}"
"检查需要续签的证书（%{1} 天内过期）...","Checking certificates needing renewal (expiring within %{1} days)..."
"✓ %{1} - 续签成功","✓ %{1} - Renewal successful"
"✗ %{1} - 续签失败：%{2}","✗ %{1} - Renewal failed: %{2}"
"SSL 证书列表","SSL certificate list"
自动续签,"Auto Renew"
"Weline Server SSL 证书管理","Weline Server SSL Certificate Management"
证书总数：%{1},"Total certificates: %{1}"
有效证书：%{1},"Active certificates: %{1}"
"HTTPS 启用：%{1}","HTTPS enabled: %{1}"
即将过期（30天内）：%{1},"Expiring soon (within 30 days): %{1}"
可用命令：,"Available commands:"
"- 查看证书列表","- View certificate list"
"- 申请新证书（localhost 自动生成自签证书）","- Requesting a new certificate (localhost automatically generates a self-signed certificate)"
"- 续签到期证书","- Renew expiring certificates"
"- 同步网站域名","- Sync website domains"
"- 启用 HTTPS","- Enable HTTPS"
"- 禁用 HTTPS","- Disable HTTPS"
站点域名查询不可用：%{1},站点域名查询不可用：%{1}
未找到任何网站域名,"No website domains found"
"找到 %{1} 个域名","Found %{1} domains"
"✓ %{1} - 已有有效证书","✓ %{1} - Valid certificate already exists"
"→ %{1} - 申请证书...","→ %{1} - Request a certificate..."
"✓ 成功","✓ Success"
"✗ 失败：%{1}","✗ Failure: %{1}"
禁用,Disabling
"正在 %{1} %{2} 的 HTTPS...","%{1} HTTPS for %{2}..."
"✓ %{1}","✓ %{1}"
重要：请重启服务器使配置生效,"Important: Please restart server for changes to take effect"
"✗ %{1}","✗ %{1}"
操作：status/list/request/renew/sync/enable/disable,"Action: status/list/request/renew/sync/enable/disable"
指定域名,"Specify domain name"
"Webroot 路径（默认：pub/）","Webroot path (default: pub/)"
证书提供商（letsencrypt/litessl）,"Certificate Provider (letsencrypt/litessl)"
"强制执行 ACME（忽略本地未过期证书）","Force execute ACME (ignore local non-expired certificates)"
提前续签天数（默认：30）,"Renewal advance days (default: 30)"
显示证书状态概览（默认）,"Show certificate status overview (default)"
列出所有证书,"List all certificates"
同步网站域名并申请证书,"Sync website domains and request certificates"
"启用指定域名的 HTTPS","Enable HTTPS for specified domain"
"禁用指定域名的 HTTPS","Disable HTTPS for specified domain"
查看状态,"View status"
列出证书,"List Certificates"
续签证书,"Renew Certificate"
同步并申请,"Sync and request"
"启用 HTTPS","Enable HTTPS"
"禁用 HTTPS","Disable HTTPS"
"监督可恢复后台任务 Runner、租约与崩溃恢复","监督可恢复后台任务 Runner、租约与崩溃恢复"
"作为持久 Watchdog 进程运行","作为持久 Watchdog 进程运行"
仅执行一次检查,仅执行一次检查
"未检测到运行中的 WLS Master","No running WLS Master detected"
未知子命令：%{1},"Unknown subcommand: %{1}"
启用维护模式...,"Enable maintenance mode..."
发送命令失败,"Failed to send command"
维护模式命令已进入控制队列,"Maintenance mode command has entered the control queue"
队列位置：%{1},"Queue location: %{1}"
"✗ 启用失败：%{1}","✗ Activation failed: %{1}"
维护转换未返回可验证终态,"The maintenance transition did not return a verifiable terminal state."
"✓ 维护模式已启用","✓ Maintenance mode is enabled"
"维护 Worker 数量：%{1}","Number of Maintenance Workers: %{1}"
禁用维护模式...,"Disabling maintenance mode..."
"✗ 禁用失败：%{1}","✗ Disablement failed: %{1}"
"✓ 维护模式已禁用","✓ Maintenance mode is disabled"
开始滚动重启...,"Start rolling restart..."
"维护 Worker 将自动启用以接管流量","Maintenance Worker will automatically start to take over traffic"
"无法获取控制端口，请检查 Master 是否运行","Unable to get control port, please check if Master is running"
"无法建立 IPC 连接: %{1}","Unable to establish IPC connection: %{1}"
"✓ 滚动重启命令已发送","✓ The rolling restart command has been sent"
"等待 Orchestrator 完成滚动重启...","Waiting for Orchestrator to complete rolling restart..."
获取状态失败,"Failed to get status"
维护模式状态,"Maintenance mode status"
维护模式：%{1},"Maintenance mode: %{1}"
滚动重启：%{1},"Rolling restart: %{1}"
"维护 Worker：%{1}","Maintenance Worker: %{1}"
维护操作已结束，但未提交请求的目标状态,"The maintenance operation finished without committing the requested state."
维护操作在可观测终态返回前超时,"The maintenance operation timed out before a terminal state was observable."
连接异常断开,"Connection Abnormally Disconnected"
"✗ 滚动重启失败：%{1}","✗ Rolling restart failed: %{1}"
等待超时（%{1}s），重启可能仍在进行中,"Timeout (%{1}s), restart may still be in progress"
