主题通知事件,"थीम अधिसूचना इवेंट"
主题注册文件不存在：%{1},"थीम पंजीकरण फ़ाइल नहीं मिली: %{1}"
"主题 %{1} 安装成功！","थीम %{1} सफलतापूर्वक इंस्टॉल!"
提示：使用以下命令激活主题：,"नोट: थीम सक्रिय करने हेतु निम्न कमांड उपयोग करें:"
"主题安装可能未完成，请检查 register.php 文件","थीम इंस्टॉल अधूरा हो सकता है। register.php जाँचें।"
安装主题时出错：%{1},"थीम इंस्टॉल में त्रुटि: %{1}"
"主题 %{1} 未安装，无法激活","थीम %{1} इंस्टॉल नहीं और सक्रिय नहीं की जा सकती।"
"主题 %{1} 已激活！","थीम %{1} सक्रिय है!"
激活主题时出错：%{1},"थीम सक्रिय करने में त्रुटि: %{1}"
安装主题到系统,"सिस्टम में थीम इंस्टॉल करें।"
"设置了 -n/--name 参数，但没有提供主题名称！","-n/--name पैरामीटर सेट था, लेकिन कोई थीम नाम प्रदान नहीं!"
"设置了 -p/--parent 参数，但没有提供父主题名称！","-p/--parent पैरामीटर सेट किया गया था, लेकिन कोई माता-पिता थीम नाम प्रदान नहीं किया गया!"
"设置了 -v/--version 参数，但没有提供版本号！","ए-वी/-संस्करण पैरामीटर सेट है, लेकिन कोई संस्करण नहीं है!"
"设置了 -d/--description 参数，但没有提供描述信息！","-d/--description पैरामीटर सेट किया गया था, लेकिन कोई विवरण प्रदान नहीं किया गया!"
主题名称只能包含字母、数字、下划线和连字符！,"विषय नामों में केवल अक्षर, संख्या, अंडरस्कोर और हाइफ़न हो सकते हैं!"
"父主题 ""%{1}"" 不存在！请先创建父主题或使用已存在的主题名称。","मूल थीम ""%{1}"" मौजूद नहीं! पहले मूल थीम बनाएँ या मौजूदा थीम नाम उपयोग करें।"
正在创建主题目录结构...,"थीम निर्देशिका संरचना बनाई जा रही है..."
"主题 ""%{1}"" 创建成功！","थीम ""%{1}"" सफलतापूर्वक बनाई गई!"
配置文件已迁移到主题目录：%{1},"कॉन्फ़िगरेशन फ़ाइल थीम निर्देशिका में माइग्रेट: %{1}"
配置已更新：%{1},"कॉन्फ़िगरेशन अपडेट: %{1}"
配置已保存到：%{1},"कॉन्फ़िगरेशन यहाँ सहेजा: %{1}"
配置文件已移动到主题目录：%{1},"कॉन्फ़िगरेशन फ़ाइल थीम निर्देशिका में ले जाई गई: %{1}"
配置文件已复制到主题目录：%{1},"कॉन्फ़िगरेशन फ़ाइल थीम निर्देशिका में कॉपी: %{1}"
"=== 已配置内容摘要 ===","=== कॉन्फ़िगर सामग्री सारांश ==="
"=== 继续之前的操作 ===","=== पिछला ऑपरेशन जारी रखें ==="
当前状态：,"वर्तमान स्थिति:"
主题目录：%{1},"थीम निर्देशिका: %{1}"
已创建,"बनाया गया"
未创建,"नहीं बनाया गया"
默认模板：%{1},"डिफ़ॉल्ट टेम्पलेट: %{1}"
主题目录不存在，需要创建主题,"थीम निर्देशिका मौजूद नहीं, थीम बनाना आवश्यक है।"
主题目录已存在，但默认模板未创建,"थीम निर्देशिका मौजूद, पर डिफ़ॉल्ट टेम्पलेट नहीं बने।"
是否现在创建默认模板？(y/n，默认：y),"अब डिफ़ॉल्ट टेम्पलेट बनाएँ? (y/n, डिफ़ॉल्ट: y)"
主题已完整创建！,"थीम सफलतापूर्वक बनाई गई!"
您可以：,"आप कर सकते हैं:"
是否进入操作菜单？(y/n，默认：n),"संचालन मेनू में प्रवेश करें? (हां/नहीं, डिफ़ॉल्ट: नहीं)"
"=== 主题操作菜单 ===","=== थीम संचालन मेनू ==="
主题：%{1},"थीम: %{1}"
状态：%{1},"स्थिति: %{1}"
目录：%{1},"निर्देशिका: %{1}"
请选择操作：,"कृपया एक क्रिया चुनें:"
"1. 重新创建主题（根据配置重新创建所有文件）","1. थीम पुनः बनाएँ (कॉन्फ़िगरेशन के आधार पर सभी फ़ाइलें पुनः बनाएँ)"
"2. 创建默认模板文件","2. डिफ़ॉल्ट टेम्पलेट फ़ाइल बनाएँ"
"3. 查看主题配置","3. थीम कॉन्फ़िगरेशन देखें"
"4. 修改主题信息","4. थीम जानकारी संशोधित करें"
"5. 继续完成创建流程","5. निर्माण प्रक्रिया को पूरा करना जारी रखें"
"6. 提取并翻译i18n词典（高级选项）","6. i18n शब्दकोश निकालें और अनुवाद करें (उन्नत विकल्प)"
"7. 继承模块（从其他模块拷贝view目录）","7. मॉड्यूल इनहेरिट करें (अन्य मॉड्यूल से view निर्देशिका कॉपी करें)"
