阿里云域名,"Alibaba Cloud Domain"
"DNS 未解析: %{1}","DNS not resolved: %{1}"
"尝试添加 A/AAAA 记录","Attempting to add A/AAAA record"
"添加记录失败: %{1}","Add Record Failed: %{1}"
"域名 %{1} DNS 未解析且添加记录失败","Domain %{1} DNS is not resolved and adding the record failed."
"无 DNS 管理账户，无法代写记录；请在外部 DNS 配置后等待生效","No DNS management account, unable to write records; please wait for them to take effect after configuring external DNS"
"已解析但未指向本站，阶段保持 awaiting_origin","Resolved but not pointing to this site; stage remains awaiting_origin"
未判定为指向本站,"Not determined to point to this site"
权威记录确认源站指向本站,"Authoritative records confirm the origin server points to this site"
权威记录指向本站,"Authoritative records point to this site"
"【解析阶段完成】已进入 origin_ready，下一节拍由「证书申请」任务处理","[Complete of parsing phase] Origin_ready has been entered, and the next beat will be processed by the ""Certificate Application"" task"
阶段→origin_ready,Phase→origin_ready
"处理异常: %{1}","Processing exception: %{1}"
"域名 %{1} 处理异常","Domain %{1} processing error."
"【cert_valid 阶段】刷新可建站 %{1} 条","[cert_valid stage] Refreshing %{1} items to build a website"
"解析阶段完成: 处理 %d 条，推进 origin_ready %d 条，代写记录成功 %d，跳过 %d，cert_valid 刷新建站 %d，错误 %d","解析阶段完成: 处理 %d 条，推进 origin_ready %d 条，代写记录成功 %d，跳过 %d，cert_valid 刷新建站 %d，错误 %d"
错误详情:,"Error details:"
"域名池检测有 %{1} 个域名失败","Domain pool check found %{1} domains failed"
"域名池解析检测任务异常: %{1}","Domain pool resolution check task exception: %{1}"
未就绪根域较多时将分多轮检测,"When there are many unready root domains, they will be checked in multiple rounds"
根域从子域回填,"Root domain backfilled from subdomain"
"健康检查完成：共 %{1} 个域名，健康 %{2} 个，不健康 %{3} 个，HTTPS 状态更新 %{4} 个，根域/池同步 %{5} 条","Health check completed: %{1} domains total, %{2} healthy, %{3} unhealthy, %{4} HTTPS status updates, %{5} root domain/pool syncs"
"（建站锁定跳过 %{1} 个）","(Skipped %{1} due to site building lock)"
健康检查失败：%{1},"Health check failed: %{1}"
"HTTPS 状态同步完成：共 %{1} 个域名，启用 %{2} 个，禁用 %{3} 个，未变化 %{4} 个","HTTPS sync complete: %{1} domains total, %{2} enabled, %{3} disabled, %{4} unchanged"
"HTTPS 状态同步失败：%{1}","HTTPS status sync failed: %{1}"
域名池证书健康（每日）,"Domain pool certificate health (daily)"
"每日校验池内已签发证书 PEM；与 SSL 表续期通知节拍一致","Daily check the PEM of issued certificates in the pool; consistent with the SSL table renewal notification cadence"
"DNS 解析与子域入池","DNS resolution and subdomain pooling"
"三步：① 自动解析 ② 子域解析检测 ③ 根域解析与默认子域入池","Three steps: ① Automatic resolution ② Subdomain resolution detection ③ Root domain resolution and default subdomain entry into the pool"
"① 自动解析","① Automatic analysis"
"② 子域解析检测","② Subdomain analysis and detection"
"③ 根域解析与入池","③ Root domain resolution and pool entry"
"站点运维（DNS 切换 + 健康检查 + NS/HTTPS）","Site Operations (DNS Switching + Health Check + NS/HTTPS)"
"① DNS/CDN 切换 ② 站点健康检查 ③ 整点 NS 检测 ④ 整点 HTTPS 同步","① DNS/CDN switching ② Site health check ③ Hourly NS detection ④ Hourly HTTPS synchronization"
健康检查,"Health Check"
"子域 HTTPS 证书维护","Subdomain HTTPS Certificate Maintenance"
"每 10 分钟先校验证书有效性，再处理待申请队列","Every 10 minutes, first verify certificate validity, then process the pending queue"
"① 证书校验","① Certificate verification"
"② 证书申请","② Certificate application"
网站保存后,"After site is saved"
网站保存后触发，可用于更新缓存、通知等相关操作。,"Triggered after site is saved, can be used for cache updates, notifications, and related operations."
域名购买成功,"Domain Purchase Success"
"域名购买成功后触发，可用于通知、自动 DNS 解析、证书申请等后续操作。数据包含 domain、order_id、website_id、auto_create_site。","Triggered after a domain is successfully purchased. Can be used for notifications, auto DNS resolution, certificate requests, etc. Data includes domain, order_id, website_id, auto_create_site."
域名池解析偏离本站,"Domain pool resolution deviates from this site"
"域名解析结果偏离本站（如 DNS 指向变更）时触发，用于发送通知提醒管理员。","Triggered when the domain resolution result deviates from this site (e.g., DNS pointing changes), used to send notifications to alert the administrator."
"一站式配置 - 绑定 DNS","One-stop configuration - Bind DNS"
"一站式配置执行 DNS 绑定步骤时触发，观察者可在此创建 Zone/记录。","Triggered when the one-stop configuration performs the DNS binding step, where observers can create zones/records."
网站站点构建场景适配器,"Website site building scenario adapter"
"用于 AI 网站站点构建（site_builder）场景的零改造适配器，支持为该场景配置默认模型。","Zero-modification adapter for the AI site builder (site_builder) scenario, supporting configuration of a default model for this scenario."
站点构建请求示例,"Site Build Request Example"
"输入站点构建目标与期望效果，让 AI 给出方案并执行。","Enter the site build goal and expected outcome, and let AI provide a plan and execute it."
请帮我把一个博客站点搭起来，包含分类页与文章详情页。,"Help me set up a blog site, including category pages and article detail pages."
系统会输出落地方案与后续构建进度/结果。,"The system will output the implementation plan along with subsequent build progress/results."
"AI 建站工作台场景适配器","AI website building workbench scene adapter"
"用于 AI 建站工作台（website_builder）场景的零改造适配器，支持为该场景配置默认模型。","Zero-modification adapter for the AI website builder (website_builder) scenario, supporting configuration of a default model for this scenario."
建站请求示例,"Site building request example"
"输入建站需求，让 AI 按流程完成建议与落地动作。","Enter your website building requirements, and let AI follow the process to provide suggestions and execute actions."
"我想做一个茶叶电商网站，风格偏高级简约，域名优先用 .com。","I want to create a tea e-commerce website with a premium, minimalist style, and prefer a .com domain."
系统会输出域名建议与后续建站进度/结果。,"The system will output domain name suggestions along with subsequent site building progress/results."
"根据描述自动购买域名、DNS 解析、HTTPS 申请、创建站点。支持理解用户意图并推荐合适域名。","Automatically purchase domain names, DNS resolution, HTTPS application, and site creation based on the description. Supports understanding user intent and recommending suitable domain names."
"上游已取消 AI 流式任务","The AI ​​streaming task has been canceled by the upstream"
"正在调用 AI...","Calling AI..."
"AI 调用失败：%{1}","AI call failed: %{1}"
工具不存在：%{1},"Tool does not exist: %{1}"
建站流程已完成，域名：%{1}。接下来可进入虚拟主题编辑并完善页面内容。,"Site building process completed, domain: %{1}. You can now enter the virtual theme editor to refine the page content."
建站流程已完成，接下来可进入虚拟主题编辑并完善页面内容。,"Site building process completed, you can now enter the virtual theme editor to refine the page content."
智能体达到最大轮次，未能完成建站,"Agent reached maximum rounds and failed to complete site building"
域名配置编排服务暂不可用：%{1},"Domain configuration orchestration service temporarily unavailable: %{1}"
"Websites 查询器不支持的操作：%{1}","Operations not supported by Websites query: %{1}"
域名与网站查询,"Domain and site lookup"
提供域名注册商、账号管理、域名列表、可用性检查、购买及一站式配置编排等能力,"Provides domain registrar, account management, domain list, availability check, purchase, and one-stop configuration orchestration capabilities"
获取所有可用的域名注册商适配器,"Get all available domain registrar adapters"
获取已配置的注册商账号列表,"Get configured registrar account list"
按状态过滤,"Filter by status"
创建或更新注册商账号,"Create or update registrar account"
"账号 ID（更新时必填）","Account ID (required for update)"
注册商代码,"Registrar Code"
账号名称,"Account Name"
额外配置,"Extra Config"
状态,Status
删除注册商账号,"Delete registrar account"
"账号 ID","Account ID"
"通过注册商 API 获取域名列表","Get domain list via registrar API"
检查域名可用性,"Check domain availability"
域名数组,"Domain array"
购买域名,"Purchase Domain"
"购买项：domain、years、website_id、auto_create_site 等","Purchase items: domain, years, website_id, auto_create_site, etc."
"是否自动解析到本地，默认 true","Auto-resolve to local, default true"
"默认 yes/no","Default yes/no"
"默认子域 @、www","Default Subdomains @, www"
follow_registrar|provider_account|custom_nameservers,follow_registrar|provider_account|custom_nameservers
"指定 DNS 注册商代码","Specify DNS registrar code"
"DNS 子账户 ID","DNS sub-account ID"
"自定义 NS","Custom NS"
follow_registrar|provider_account|none,follow_registrar|provider_account|none
"CDN 注册商代码","CDN registrar code"
"CDN 子账户 ID","CDN subaccount ID"
"是否启动 Websites 全流程生命周期；false 时不应再依赖 Observer 补单","Enable the full lifecycle of Websites; when false, should no longer rely on Observer for order supplementation"
"默认 WHOIS：与后台弹窗同字段；或与 Weline_Websites env domain_purchase_default_contact 合并","Default WHOIS: same fields as backend popup; or merged with Weline_Websites env domain_purchase_default_contact"
